model,condition,skill,classifier,intro_strategy,macro_f1_mean,macro_f1_std,weighted_f1_mean,mae_mean,kappa_mean,f1_not_exp_mean,f1_junior_mean,f1_midlevel_mean,f1_senior_mean
qwen3-4b,C2b,javascript,ordinal,concat,0.5198277745454629,0.0113382480700767,0.7431151080821105,0.2617522202774133,0.4410884643632617,0.6259965345630314,0.8298268651742738,0.4645294376759407,0.1589582607686055
gemini,C4,javascript,ordinal,none,0.5192297709738158,0.0099135981597708,0.732393085905551,0.2754807177589826,0.4203256375016679,0.621469315970421,0.8201335461344159,0.4381192520934572,0.1971969696969697
qwen3-0.6b,C1b,javascript,ordinal,average,0.5184124799996136,0.0227470133503465,0.7450739626823234,0.2510226845500561,0.434421171329641,0.644991851980006,0.8379214328594886,0.4153203672163763,0.1754162679425837
cohere,C2b,javascript,ordinal,concat,0.5134198021150229,0.0099396157204617,0.733925232580439,0.2767452861898371,0.4266488733242582,0.6468488796107602,0.8210575799042298,0.4198142629866158,0.1659584859584859
qwen3-0.6b,C4,javascript,ordinal,none,0.5130032626001423,0.0250601862200808,0.744896739596378,0.2530745271251049,0.4334622051069653,0.6256078202787215,0.8361165097685888,0.4464791965437351,0.1438095238095237
voyage,C4,javascript,ordinal,none,0.5093156780486536,0.0284436677818735,0.7490239778577649,0.2473947998077875,0.444912356482454,0.6475536739414554,0.8395490819852925,0.4380546931099717,0.1121052631578947
qwen3-8b,C3,javascript,nominal,none,0.5085725990300899,0.0035192353276704,0.7343002640191754,0.27800313216595,0.4340909288946647,0.6444331638980063,0.8157359043937753,0.4561912578985082,0.1179300699300699
jina-v5-small,C3,javascript,ordinal,none,0.5079096915826136,0.0085044067447059,0.7405337841000218,0.2560733643894143,0.422245960185,0.6235535116345887,0.8338688304788378,0.4283812480412945,0.1458351761757334
qwen3-0.6b,C3,javascript,ordinal,none,0.507779396870782,0.0217708528325651,0.745171483433233,0.2502362818351803,0.4301252992398746,0.6431593809300705,0.8407310945108396,0.4060262838848684,0.1412008281573498
openai-small,C4,javascript,ordinal,none,0.5049474752052208,0.0154525907504753,0.7342224921781945,0.2712196773719683,0.4220760467915303,0.6336084747984748,0.8232054243784436,0.4273613711763929,0.1356146304675716
kalm-12b,C3,javascript,ordinal,none,0.5030791188344433,0.0174370676017698,0.7206401408383585,0.2884180819093763,0.3975304045073631,0.5979365991028873,0.8116371590830284,0.4225457832177087,0.1801969339341487
cohere,C1b,javascript,nominal,concat,0.501181307242314,0.0173620596346287,0.737220784147869,0.2728003256655852,0.4362651571197064,0.6449701990758104,0.8188034162952169,0.4644577749560526,0.0764938386421762
openai-small,C3,javascript,ordinal,none,0.4985223550859602,0.0102015959032734,0.7321002310841995,0.27374134483952,0.4168212366291987,0.6201479637152639,0.8217135789297817,0.4353194527903704,0.1169084249084249
qwen3-4b,C3,javascript,ordinal,none,0.4967831035292769,0.0194171364563743,0.7204505606724299,0.2915735274711868,0.3970044685921765,0.6134368168328436,0.8114060003533099,0.4077532560788237,0.1545363408521303
qwen3-8b,C4,javascript,nominal,none,0.4964201132073348,0.0144816788814862,0.7208432616681042,0.2888911435393475,0.4018413371898058,0.6121620056485133,0.8070680105802559,0.4361647223148562,0.1302857142857142
jina-v5-small,C1b,javascript,nominal,concat,0.4955530402293108,0.0196088544334735,0.727145581072479,0.284630850091749,0.4221951289540729,0.6125780508069864,0.8088893103917586,0.4761042768426812,0.084640522875817
